"latitude","longitude","acq_date","cluster"
-36.051872,147.815475,"1/1/2020",4
-36.045845,147.827454,"1/1/2020",4
-36.046124,147.823013,"1/1/2020",4
-36.056286,147.572815,"1/1/2020",4
-36.041363,147.814865,"1/1/2020",4
-36.041103,147.819,"1/1/2020",4
-36.036064,147.815277,"1/1/2020",4
-36.050983,147.572098,"1/1/2020",4
-36.047363,147.571854,"1/1/2020",4
-36.036236,147.815399,"1/1/2020",4
-36.021374,147.560455,"1/1/2020",4
-36.021057,147.565262,"1/1/2020",4
-37.416622,148.889954,"1/1/2020",1
-37.625957,147.575424,"1/1/2020",3
-37.595043,148.764542,"1/1/2020",1
-37.542175,149.378159,"1/1/2020",1
-37.647106,147.584824,"1/1/2020",3
-37.561192,149.18132,"1/1/2020",1
-37.62484,147.573593,"1/1/2020",3
-37.556248,149.180939,"1/1/2020",1
-37.573032,148.939407,"1/1/2020",1
-37.546482,149.248947,"1/1/2020",1
-37.540577,149.262451,"1/1/2020",1
-37.520832,149.401825,"1/1/2020",1
-37.641705,147.584595,"1/1/2020",3
-37.641468,147.588898,"1/1/2020",3
-37.530258,149.268631,"1/1/2020",1
-37.545502,149.048416,"1/1/2020",1
-37.515507,149.40773,"1/1/2020",1
-37.517647,149.307602,"1/1/2020",1
-37.545639,148.662994,"1/1/2020",1
-37.615059,147.770218,"1/1/2020",1
-37.513248,149.299973,"1/1/2020",1
-37.557175,148.642456,"1/1/2020",1
-37.55069,148.66391,"1/1/2020",1
-37.501389,149.439056,"1/1/2020",1
-37.541046,148.654816,"1/1/2020",1
-37.544697,148.514282,"1/1/2020",1
-37.564362,148.652771,"1/1/2020",1
-37.421856,149.588226,"1/1/2020",1
-37.47599,149.702927,"1/1/2020",1
-37.624577,147.577927,"1/1/2020",3
-37.411694,148.888489,"1/1/2020",1
-37.548195,148.664642,"1/1/2020",1
-37.397568,149.152328,"1/1/2020",1
-37.566849,148.15654,"1/1/2020",1
-37.577255,148.158035,"1/1/2020",1
-37.477531,149.495239,"1/1/2020",1
-37.572861,148.144882,"1/1/2020",1
-37.60323,147.572357,"1/1/2020",3
-37.459778,149.66304,"1/1/2020",1
-37.445938,149.590683,"1/1/2020",1
-37.421394,149.594391,"1/1/2020",1
-37.461006,149.520126,"1/1/2020",1
-37.444553,149.609009,"1/1/2020",1
-37.586628,147.578201,"1/1/2020",3
-37.42094,149.600525,"1/1/2020",1
-37.440208,149.60228,"1/1/2020",1
-37.439743,149.608475,"1/1/2020",1
-37.429623,149.614044,"1/1/2020",1
-37.425751,149.601059,"1/1/2020",1
-37.425293,149.607162,"1/1/2020",1
-37.409035,149.148026,"1/1/2020",1
-37.447922,149.1604,"1/1/2020",1
-37.436344,149.183853,"1/1/2020",1
-37.430996,149.189377,"1/1/2020",1
-37.47261,148.490189,"1/1/2020",1
-37.472195,148.496658,"1/1/2020",1
-37.421192,149.115646,"1/1/2020",1
-37.452915,148.443054,"1/1/2020",1
-37.398262,149.160324,"1/1/2020",1
-37.41127,148.889038,"1/1/2020",1
-37.409897,149.186874,"1/1/2020",1
-37.457195,148.456009,"1/1/2020",1
-37.456951,148.459503,"1/1/2020",1
-37.403481,149.139526,"1/1/2020",1
-37.116787,148.293823,"1/1/2020",1
-37.432457,148.44014,"1/1/2020",1
-37.422913,148.505508,"1/1/2020",1
-37.44598,147.901825,"1/1/2020",1
